KL,Mpm
307,5.50E+22
308,6.40E+22
162,5.68E+13
319,6.26E+23
350,5.88E+26
80,2.13E+09
265,5.50E+19
96,9.27E+09
293,3.60E+21
211,2.70E+16
148,#VALUE!
263,2.50E+19
218,8.05E+16
236,2.30E+20
257,1.42E+19
72,3.55E+08
308,7.52E+22
85,1.41E+09
85,1.41E+09
272,9.00E+19
51,8.30E+06
298,8.50E+21
38,1.41E+06
321,9.38E+23
300,1.15E+22
172,1.79E+14
156,4.27E+13
38,1.50E+09
204,1.21E+16
214,8.10E+16
267,6.42E+19
61,5.00E+07
319,8.77E+23
59,2.71E+07
59,2.71E+07
256,1.21E+19
258,1.79E+19
255,1.43E+19
183,1.04E+15
264,#VALUE!
35,6.28E+05
202,1.24E+16
258,1.84E+19
84,1.40E+09
259,2.66E+19
175,5.90E+08
205,2.80E+16
302,2.86E+22
238,1.10E+18
67,8.90E+04
111,2.85E+10
251,9.77E+18
265,#VALUE!
105,3.10E+10
302,1.75E+22
240,1.46E+18
296,5.20E+21
220,1.46E+17
160,1.47E+13
174,2.80E+14
74,3.24E+08
280,3.38E+20
296,5.20E+21
287,9.24E+20
2017,1.27E+16
206,8.00E+12
47,1.78E+06
207,1.83E+16
69,1.19E+08
298,8.20E+21
195,1.10E+18
288,8.85E+20
267,7.45E+19
282,4.12E+20
75,7.59E+08
257,2.00E+19
170,1.12E+17
106,3.67E+10
106,3.67E+10
106,3.67E+10
106,3.67E+10
164,1.03E+14
203,8.71E+15
212,6.37E+16
212,6.37E+16
268,4.70E+01
236,9.35E+17
155,2.50E+13
182,6.86E+14
82,7.37E+08
191,2.00E+21
82,1.00E+09
211,3.70E+16
279,2.51E+20
62,4.67E+07
228,2.61E+17
89,1.91E+08
304,2.92E+22
102,3.86E+10
66,1.74E+08
263,4.90E+23
249,5.24E+18
199,1.09E+16
59,5.27E+07
101,2.40E+10
180,4.30E+14
97,7.68E+09
104,8.30E+10
276,2.27E+20
114,2.78E+11
